i,j,t_reg,t_cv,shape_summary,profile_summary,cluster_count,selected_idx,selected_lambda,S_l2,is_valid
0,0,0.04,0.4,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.537e-01,True
0,1,0.04,0.5,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.552e-01,True
0,2,0.04,0.6,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.525e-01,True
1,0,0.05,0.4,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.541e-01,True
1,1,0.05,0.5,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.505e-01,True
1,2,0.05,0.6,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.519e-01,True
2,0,0.06,0.4,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.564e-01,True
2,1,0.06,0.5,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.520e-01,True
2,2,0.06,0.6,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.547e-01,True
