i,j,c_eps,mini_samples,shape_summary,profile_summary,cluster_count,selected_idx,selected_lambda,S_l2,is_valid
0,0,4.0,16,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.539e-01,True
0,1,4.0,20,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.535e-01,True
0,2,4.0,24,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.531e-01,True
1,0,5.0,16,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.550e-01,True
1,1,5.0,20,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.509e-01,True
1,2,5.0,24,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.522e-01,True
2,0,6.0,16,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.535e-01,True
2,1,6.0,20,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.551e-01,True
2,2,6.0,24,Ellipsoid+Rectangle,Ellipsoid(Sigmoid)+Rectangle(Sigmoid),2,4,1.000e-04,1.531e-01,True
